session_id,scenario,source_ip,start_time,end_time,duration_min,alert_count,max_phase_gt,max_phase_pred,is_multi_phase,risk_score,risk_level,status,recommended_action
fox-10.35.32.1-1642204803,fox,10.35.32.1,1642204803,1642219497,244.9,46,,,False,0,BENIGN,MONITORED,No action required
fox-10.35.32.1-1642223246,fox,10.35.32.1,1642223246,1642251564,472.0,1461,,,False,0,BENIGN,MONITORED,No action required
fox-10.35.32.1-1642254234,fox,10.35.32.1,1642254234,1642260750,108.6,722,,,False,0,BENIGN,MONITORED,No action required
fox-10.35.32.1-1642264465,fox,10.35.32.1,1642264465,1642268281,63.6,642,,,False,0,BENIGN,MONITORED,No action required
fox-10.35.32.1-1642272600,fox,10.35.32.1,1642272600,1642276133,58.9,64,,,False,0,BENIGN,MONITORED,No action required
fox-10.35.32.1-1642291677,fox,10.35.32.1,1642291677,1642291677,0.0,10,,,False,0,BENIGN,MONITORED,No action required
fox-10.35.32.1-1642300166,fox,10.35.32.1,1642300166,1642300166,0.0,12,,,False,0,BENIGN,MONITORED,No action required
fox-10.35.32.1-1642303335,fox,10.35.32.1,1642303335,1642303335,0.0,12,,,False,0,BENIGN,MONITORED,No action required
fox-10.35.32.1-1642309241,fox,10.35.32.1,1642309241,1642309242,0.0,12,,,False,0,BENIGN,MONITORED,No action required
fox-10.35.32.1-1642319760,fox,10.35.32.1,1642319760,1642334268,241.8,1901,,,False,0,BENIGN,MONITORED,No action required
fox-10.35.32.1-1642338767,fox,10.35.32.1,1642338767,1642345351,109.7,304,,,False,0,BENIGN,MONITORED,No action required
fox-10.35.32.1-1642349937,fox,10.35.32.1,1642349937,1642351527,26.5,504,,,False,0,BENIGN,MONITORED,No action required
fox-10.35.32.1-1642353886,fox,10.35.32.1,1642353886,1642357026,52.3,796,,,False,0,BENIGN,MONITORED,No action required
fox-10.35.32.1-1642360844,fox,10.35.32.1,1642360844,1642362354,25.2,56,,,False,0,BENIGN,MONITORED,No action required
fox-10.35.32.1-1642382078,fox,10.35.32.1,1642382078,1642382079,0.0,10,,,False,0,BENIGN,MONITORED,No action required
fox-10.35.32.1-1642388358,fox,10.35.32.1,1642388358,1642388656,5.0,22,,,False,0,BENIGN,MONITORED,No action required
fox-10.35.32.1-1642391277,fox,10.35.32.1,1642391277,1642391279,0.0,14,,,False,0,BENIGN,MONITORED,No action required
fox-10.35.32.1-1642398932,fox,10.35.32.1,1642398932,1642398932,0.0,8,,,False,0,BENIGN,MONITORED,No action required
fox-10.35.32.1-1642402607,fox,10.35.32.1,1642402607,1642414921,205.2,748,Actions_on_Objectives,,False,0,BENIGN,MONITORED,No action required
fox-10.35.32.1-1642417414,fox,10.35.32.1,1642417414,1642417414,0.0,8,,,False,0,BENIGN,MONITORED,No action required
fox-10.35.32.1-1642420292,fox,10.35.32.1,1642420292,1642432019,195.4,700,,,False,0,BENIGN,MONITORED,No action required
fox-10.35.32.1-1642437005,fox,10.35.32.1,1642437005,1642445555,142.5,660,,,False,0,BENIGN,MONITORED,No action required
fox-10.35.32.1-1642447413,fox,10.35.32.1,1642447413,1642450827,56.9,224,,,False,0,BENIGN,MONITORED,No action required
fox-10.35.32.1-1642456043,fox,10.35.32.1,1642456043,1642456043,0.0,8,,,False,0,BENIGN,MONITORED,No action required
fox-10.35.32.1-1642479297,fox,10.35.32.1,1642479297,1642479297,0.0,10,,,False,0,BENIGN,MONITORED,No action required
fox-10.35.32.1-1642481254,fox,10.35.32.1,1642481254,1642481776,8.7,26,,,False,0,BENIGN,MONITORED,No action required
fox-10.35.32.1-1642484989,fox,10.35.32.1,1642484989,1642484990,0.0,10,,,False,0,BENIGN,MONITORED,No action required
fox-10.35.32.1-1642491948,fox,10.35.32.1,1642491948,1642513571,360.4,1499,Exploitation,Reconnaissance,False,15,LOW,MONITORED,No action required
fox-10.35.32.1-1642515519,fox,10.35.32.1,1642515519,1642516006,8.1,54,,,False,0,BENIGN,MONITORED,No action required
fox-10.35.32.1-1642518155,fox,10.35.32.1,1642518155,1642521284,52.1,112,,,False,0,BENIGN,MONITORED,No action required
fox-10.35.32.1-1642525526,fox,10.35.32.1,1642525526,1642525689,2.7,342,,,False,0,BENIGN,MONITORED,No action required
fox-10.35.32.1-1642528127,fox,10.35.32.1,1642528127,1642530206,34.6,704,,,False,0,BENIGN,MONITORED,No action required
fox-10.35.32.1-1642533815,fox,10.35.32.1,1642533815,1642533815,0.0,8,,,False,0,BENIGN,MONITORED,No action required
fox-10.35.32.1-1642556217,fox,10.35.32.1,1642556217,1642557350,18.9,40,,,False,0,BENIGN,MONITORED,No action required
fox-10.35.32.1-1642559666,fox,10.35.32.1,1642559666,1642559683,0.3,26,,,False,0,BENIGN,MONITORED,No action required
fox-10.35.32.1-1642563831,fox,10.35.32.1,1642563831,1642564425,9.9,34,,,False,0,BENIGN,MONITORED,No action required
fox-10.35.32.1-1642571845,fox,10.35.32.1,1642571845,1642571859,0.2,14,,,False,0,BENIGN,MONITORED,No action required
fox-10.35.32.1-1642573857,fox,10.35.32.1,1642573857,1642576144,38.1,560,,,False,0,BENIGN,MONITORED,No action required
fox-10.35.32.1-1642578056,fox,10.35.32.1,1642578056,1642579327,21.2,9,,,False,0,BENIGN,MONITORED,No action required
fox-10.35.32.1-1642584455,fox,10.35.32.1,1642584455,1642586703,37.5,388,,,False,0,BENIGN,MONITORED,No action required
fox-10.35.32.1-1642589164,fox,10.35.32.1,1642589164,1642589346,3.0,72,,,False,0,BENIGN,MONITORED,No action required
fox-10.35.32.1-1642592962,fox,10.35.32.1,1642592962,1642597714,79.2,688,,,False,0,BENIGN,MONITORED,No action required
fox-10.35.32.1-1642599708,fox,10.35.32.1,1642599708,1642608667,149.3,1211,,,False,0,BENIGN,MONITORED,No action required
fox-10.35.32.1-1642612090,fox,10.35.32.1,1642612090,1642612598,8.5,24,,,False,0,BENIGN,MONITORED,No action required
fox-10.35.32.1-1642615088,fox,10.35.32.1,1642615088,1642620033,82.4,83,,,False,0,BENIGN,MONITORED,No action required
fox-10.35.33.111-1642230107,fox,10.35.33.111,1642230107,1642230694,9.8,22,,,False,0,BENIGN,MONITORED,No action required
fox-10.35.33.111-1642343931,fox,10.35.33.111,1642343931,1642343931,0.0,10,,,False,0,BENIGN,MONITORED,No action required
fox-10.35.33.111-1642388358,fox,10.35.33.111,1642388358,1642388358,0.0,10,,,False,0,BENIGN,MONITORED,No action required
